train dataset: size=16000
  inp: shape=(3, 48, 48)
  coord: shape=(2304, 2)
  cell: shape=(2304, 2)
  gt: shape=(2304, 3)
val dataset: size=1600
  inp: shape=(3, 48, 48)
  coord: shape=(2304, 2)
  cell: shape=(2304, 2)
  gt: shape=(2304, 3)
model: #params=1.8M
epoch 67/2000, train: loss=0.0331, val: psnr=29.9471, 1.6m 1.7h/51.1h
epoch 68/2000, train: loss=0.0327, val: psnr=30.1412, 1.5m 1.7h/51.1h
epoch 69/2000, train: loss=0.0328, val: psnr=30.0905, 1.5m 1.8h/51.1h
epoch 70/2000, train: loss=0.0328, val: psnr=30.4202, 1.5m 1.8h/51.1h
epoch 71/2000, train: loss=0.0325, val: psnr=29.4130, 1.6m 1.8h/51.1h
epoch 72/2000, train: loss=0.0326, val: psnr=30.0309, 1.5m 1.8h/51.1h
epoch 73/2000, train: loss=0.0325, val: psnr=30.0608, 1.5m 1.9h/51.1h
epoch 74/2000, train: loss=0.0324, val: psnr=30.1801, 1.5m 1.9h/51.1h
epoch 75/2000, train: loss=0.0326, val: psnr=29.8839, 1.6m 1.9h/51.1h
epoch 76/2000, train: loss=0.0323, val: psnr=30.3868, 1.5m 1.9h/51.2h
epoch 77/2000, train: loss=0.0324, val: psnr=30.1175, 1.5m 2.0h/51.2h
epoch 78/2000, train: loss=0.0331, val: psnr=29.8837, 1.5m 2.0h/51.2h
epoch 79/2000, train: loss=0.0328, val: psnr=29.7602, 1.5m 2.0h/51.2h
epoch 80/2000, train: loss=0.0320, val: psnr=30.1760, 1.5m 2.0h/51.2h
epoch 81/2000, train: loss=0.0321, val: psnr=30.1222, 1.5m 2.1h/51.2h
epoch 82/2000, train: loss=0.0325, val: psnr=30.0979, 1.5m 2.1h/51.2h
epoch 83/2000, train: loss=0.0322, val: psnr=30.2102, 1.5m 2.1h/51.2h
epoch 84/2000, train: loss=0.0321, val: psnr=30.6558, 1.6m 2.1h/51.2h
epoch 85/2000, train: loss=0.0326, val: psnr=29.8237, 1.6m 2.2h/51.2h
epoch 86/2000, train: loss=0.0325, val: psnr=30.1865, 1.6m 2.2h/51.2h
epoch 87/2000, train: loss=0.0325, val: psnr=29.3729, 1.5m 2.2h/51.2h
epoch 88/2000, train: loss=0.0320, val: psnr=29.9622, 1.6m 2.3h/51.2h
epoch 89/2000, train: loss=0.0333, val: psnr=30.0422, 1.6m 2.3h/51.2h
epoch 90/2000, train: loss=0.0325, val: psnr=30.0896, 1.6m 2.3h/51.2h
epoch 91/2000, train: loss=0.0324, val: psnr=29.9594, 1.5m 2.3h/51.2h
epoch 92/2000, train: loss=0.0323, val: psnr=30.2321, 1.5m 2.4h/51.2h
epoch 93/2000, train: loss=0.0323, val: psnr=29.8013, 1.5m 2.4h/51.2h
epoch 94/2000, train: loss=0.0325, val: psnr=29.9565, 1.5m 2.4h/51.2h
epoch 95/2000, train: loss=0.0321, val: psnr=30.1156, 1.5m 2.4h/51.2h
epoch 96/2000, train: loss=0.0321, val: psnr=30.0874, 1.5m 2.5h/51.2h
epoch 97/2000, train: loss=0.0322, val: psnr=30.0646, 1.5m 2.5h/51.2h
epoch 98/2000, train: loss=0.0324, val: psnr=30.1752, 1.5m 2.5h/51.2h
epoch 99/2000, train: loss=0.0326, val: psnr=29.8271, 1.5m 2.5h/51.2h
epoch 100/2000, train: loss=0.0326, val: psnr=30.1199, 1.5m 2.6h/51.2h
epoch 101/2000, train: loss=0.0319, val: psnr=29.8724, 1.5m 2.6h/51.2h
epoch 102/2000, train: loss=0.0325, val: psnr=30.6363, 1.5m 2.6h/51.2h
epoch 103/2000, train: loss=0.0325, val: psnr=29.9631, 1.5m 2.6h/51.2h
epoch 104/2000, train: loss=0.0325, val: psnr=30.5252, 1.5m 2.7h/51.2h
epoch 105/2000, train: loss=0.0321, val: psnr=30.0990, 1.5m 2.7h/51.2h
epoch 106/2000, train: loss=0.0326, val: psnr=30.0634, 1.5m 2.7h/51.2h
epoch 107/2000, train: loss=0.0327, val: psnr=29.9046, 1.5m 2.7h/51.2h
epoch 108/2000, train: loss=0.0322, val: psnr=29.8952, 1.5m 2.8h/51.2h
epoch 109/2000, train: loss=0.0324, val: psnr=30.0890, 1.5m 2.8h/51.2h
epoch 110/2000, train: loss=0.0320, val: psnr=30.3373, 1.5m 2.8h/51.2h
epoch 111/2000, train: loss=0.0327, val: psnr=30.0208, 1.5m 2.8h/51.2h
